Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Yangel Herrera,CC,ve Venezuela,26,1998,3.6,10,2.76,8,0,2,0,0,0,1,0.28,1,0,0,0,0,0,Partidos
Piero Hincapié,DF,ec Ecuador,22,2002,4.0,5,1.25,4,0,0,0,1,0,1,0.25,1,0,0,0,0,0,Partidos
Ethan Horvath,PO,us United States,28,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
César Huerta,"DL,CC",mx Mexico,23,2000,0.9,5,5.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
José Hurtado,DF,ec Ecuador,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Mauricio Isla,DF,cl Chile,35,1988,3.0,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Alistair Johnston,DF,ca Canada,25,1998,5.7,4,0.70,3,1,0,0,0,0,1,0.18,0,1,0,0,0,0,Partidos
Julio José González,PO,mx Mexico,32,1991,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Vinicius Júnior,DL,br Brazil,23,2000,2.8,6,2.16,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Leonel Justiniano,CC,bo Bolivia,31,1992,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Partidos
Kaku,"DL,CC",py Paraguay,29,1995,0.4,4,10.29,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Richard King,DF,jm Jamaica,22,2001,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ismaël Koné,CC,ca Canada,21,2002,3.5,8,2.26,6,0,0,1,1,0,1,0.28,0,0,0,1,0,0,Partidos
Luca de la Torre,CC,us United States,25,1998,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Matías Lacava,CC,ve Venezuela,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gianluca Lapadula,DL,pe Peru,33,1990,2.2,2,0.93,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
Cyle Larin,DL,ca Canada,28,1995,4.4,11,2.50,9,0,1,0,1,0,1,0.23,1,0,0,0,0,0,Partidos
Richie Laryea,"DF,DL",ca Canada,29,1995,4.1,5,1.23,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Ariel Lassiter,DF,cr Costa Rica,29,1994,1.5,1,0.67,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Joël Latibeaudière,"DF,CC",jm Jamaica,24,2000,2.9,2,0.69,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Greg Leigh,DF,jm Jamaica,29,1994,2.0,3,1.50,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Dexter Lembikisa,DF,jm Jamaica,20,2003,2.0,1,0.51,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Kahiser Lenis,CC,pa Panama,23,2000,0.5,3,5.74,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jefferson Lerma,CC,co Colombia,29,1994,4.7,6,1.28,3,0,0,1,0,2,1,0.21,1,0,0,0,0,0,Partidos
Igor Lichnovsky,DF,cl Chile,29,1994,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Giovani Lo Celso,CC,ar Argentina,27,1996,1.7,8,5.63,4,0,0,2,1,1,4,2.81,3,0,0,1,0,0,Partidos
