Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Mathieu Choiniere,CC,ca Canada,24,1999,2,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,10,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
Anthony Contreras,DL,cr Costa Rica,24,2000,1,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jhon Córdoba,DL,co Colombia,30,1993,6,5,414,4.6,2,1,3,2,0,0,2,0,1.4,1.4,0.8,2.2,3,5,21,0.43,0.22,0.65,0.43,0.65,0.31,0.18,0.49,0.31,0.49,Partidos
José Cordoba,DF,pa Panama,22,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Derek Cornelius,DF,ca Canada,26,1997,6,5,429,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,11,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Janner Corozo,DL,ec Ecuador,28,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jordi Cortizo,DL,mx Mexico,27,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Aldo Corzo,DF,pe Peru,34,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Maxime Crépeau,PO,ca Canada,29,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Andrés Cubas,CC,py Paraguay,27,1996,2,2,170,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
