Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Alexander Domínguez,PO,ec Ecuador,36,1987,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jhon Durán,DL,co Colombia,20,2003,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Rodrigo Echeverría,CC,cl Chile,28,1995,2.0,0,4,3,75.0,2.03,1.53,0.00,0.00,14.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Partidos
Éderson,CC,br Brazil,24,1999,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jorge Eduardo Sánchez,DF,mx Mexico,26,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,0,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
Julio Enciso,"DL,CC",py Paraguay,20,2004,2.8,1,14,5,35.7,5.02,1.79,0.07,0.20,23.6,2,0,0,0.7,0.7,0.05,+0.3,+0.3,Partidos
Endrick,DL,br Brazil,17,2006,1.4,0,2,1,50.0,1.42,0.71,0.00,0.00,23.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
Matías Espinoza,DF,py Paraguay,26,1997,1.8,0,1,1,100.0,0.56,0.56,0.00,0.00,24.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
Stephen Eustáquio,CC,ca Canada,27,1996,4.8,0,3,2,66.7,0.63,0.42,0.00,0.00,14.3,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Partidos
Evanilson,CC,br Brazil,24,1999,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
José Fajardo,"DL,CC",pa Panama,30,1993,3.3,2,8,2,25.0,2.44,0.61,0.25,1.00,16.8,0,0,0,0.9,0.9,0.11,+1.1,+1.1,Partidos
Edgardo Fariña,DF,pa Panama,22,2001,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Enzo Fernández,CC,ar Argentina,23,2001,3.9,0,6,1,16.7,1.54,0.26,0.00,0.00,17.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Partidos
Nicolás Fernández,DF,cl Chile,24,1999,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Nahuel Ferraresi,DF,ve Venezuela,25,1998,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Edison Flores,"DL,CC",pe Peru,29,1994,2.1,0,2,0,0.0,0.97,0.00,0.00,0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Alan Franco,CC,ec Ecuador,25,1998,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,21.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Thomas Galdames,DF,cl Chile,25,1998,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Pedro Gallese,PO,pe Peru,33,1990,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Orlando Galo,CC,cr Costa Rica,23,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,0,27.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Alejandro Garnacho,DL,ar Argentina,19,2004,0.7,0,2,0,0.0,2.77,0.00,0.00,0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
Néstor Giménez,DF,py Paraguay,26,1997,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Santiago Giménez,DL,mx Mexico,22,2001,2.4,0,8,3,37.5,3.32,1.24,0.00,0.00,11.1,0,0,0,1.3,1.3,0.17,-1.3,-1.3,Partidos
João Gomes,CC,br Brazil,22,2001,3.6,0,1,0,0.0,0.28,0.00,0.00,0,28.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
Freddy Góndola,CC,pa Panama,28,1995,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Alexander González,DF,ve Venezuela,31,1992,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Derlis González,CC,py Paraguay,29,1994,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Nicolás González,"CC,DL",ar Argentina,25,1998,2.8,0,5,3,60.0,1.76,1.06,0.00,0.00,12.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Partidos
Demarai Gray,"CC,DL",jm Jamaica,27,1996,2.2,0,2,0,0.0,0.91,0.00,0.00,0,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
Joao Grimaldo,CC,pe Peru,20,2003,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Carlos Gruezo,"CC,DL",ec Ecuador,28,1995,1.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Eduardo Guerrero,DL,pa Panama,23,2000,1.3,1,3,1,33.3,2.37,0.79,0.33,1.00,15.6,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Partidos
Paolo Guerrero,DL,pe Peru,40,1984,1.1,0,2,2,100.0,1.87,1.87,0.00,0.00,14.8,1,0,0,0.5,0.5,0.24,-0.5,-0.5,Partidos
Bruno Guimarães,CC,br Brazil,26,1997,3.7,0,6,1,16.7,1.63,0.27,0.00,0.00,22.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Partidos
Luis Haquín,DF,bo Bolivia,26,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,0,14.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Wes Harding,DF,jm Jamaica,27,1996,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Carlos Harvey,DF,pa Panama,23,2000,1.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Michael Hector,DF,jm Jamaica,31,1992,1.8,0,1,0,0.0,0.57,0.00,0.00,0,24.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Yangel Herrera,CC,ve Venezuela,26,1998,3.6,0,7,0,0.0,1.93,0.00,0.00,0,20.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
Piero Hincapié,DF,ec Ecuador,22,2002,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,47.1,0,0,0,0.0,0.0,0.01,+1.0,+1.0,Partidos
Ethan Horvath,PO,us United States,28,1995,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
César Huerta,"DL,CC",mx Mexico,23,2000,0.9,0,4,1,25.0,4.29,1.07,0.00,0.00,14.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
José Hurtado,DF,ec Ecuador,22,2001,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Mauricio Isla,DF,cl Chile,35,1988,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Alistair Johnston,DF,ca Canada,25,1998,5.7,0,1,1,100.0,0.18,0.18,0.00,0.00,15.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Julio José González,PO,mx Mexico,32,1991,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Vinicius Júnior,DL,br Brazil,23,2000,2.8,2,4,2,50.0,1.44,0.72,0.50,1.00,14.7,0,0,0,0.7,0.7,0.18,+1.3,+1.3,Partidos
Leonel Justiniano,CC,bo Bolivia,31,1992,0.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
